SGTPVALUE,BOSVALUE
00,
13,Z
14,I
16,7
17,b
1A,i
1B,B
1e,y
1E,E
1f,m
1g,r
1G,l
1K,A
1l,j
1n,i
1Q,3
1R,c
1S,g
1W,d
1X,G
1Y,C
1z,e
1Z,e
2a,8
31,u
32,k
35,4
36,5
37,6
38,K
3a,x
3b,h
3y,n
3z,n
98,98
s1,1
s2,2
s5,R
s6,8
t0,f
t1,B
t2,Y
t3,P
t4,W
t5,S
t6,7
t7,a
t8,D
u0,e
u2,F
u3,g
u4,H
u5,h
u7,J
u8,j
v0,L
v2,n
v3,N
v4,Q
v6,s
v7,T
v8,t
w0,U
w1,V
w2,x
w3,y
w4,Z
w5,z
w6,i
x2,h
x3,x
